player_id,matchweek,goals_scored,assists,clean_sheets,minutes_played,points
653,2,0,0,0,0,0
621,2,0,0,0,0,0
397,2,0,0,0,24,1
487,2,0,0,0,0,0
105,2,0,0,1,90,3
607,2,0,0,0,0,0
655,2,0,0,0,16,1
354,2,0,0,1,90,3
417,2,0,0,0,0,0
574,2,0,0,0,0,0
300,2,0,0,0,0,0
206,2,0,0,0,0,0
491,2,0,0,0,0,0
53,2,0,0,0,0,0
489,2,0,0,0,90,1
371,2,0,0,0,0,0
378,2,0,0,0,21,1
488,2,0,0,0,90,1
465,2,0,0,0,0,0
344,2,0,0,0,0,0
117,2,0,0,0,0,0
23,2,0,0,0,0,0
634,2,0,0,0,0,0
13,2,0,1,1,78,5
191,2,0,0,0,0,0
22,2,0,0,0,0,0
626,2,0,0,0,0,0
195,2,0,0,0,60,1
38,2,0,0,0,21,1
46,2,0,0,0,0,0
579,2,0,0,0,0,0
570,2,0,1,0,35,4
76,2,0,0,0,27,1
448,2,0,0,0,0,0
233,2,0,0,0,0,0
302,2,0,0,0,90,2
416,2,0,0,0,56,0
86,2,0,0,0,0,0
97,2,0,0,0,0,0
341,2,0,0,1,90,7
615,2,0,0,0,0,0
539,2,1,0,0,90,6
617,2,0,0,0,0,0
545,2,0,0,0,86,0
37,2,0,0,0,0,0
495,2,0,1,0,20,4
532,2,0,1,0,90,4
303,2,1,0,0,85,7
144,2,0,0,0,0,0
368,2,0,0,0,0,0
254,2,0,0,0,45,0
288,2,0,0,0,90,2
192,2,0,0,0,0,0
224,2,0,0,0,0,0
29,2,0,0,1,90,7
393,2,0,0,0,0,0
48,2,0,0,1,90,6
15,2,0,0,1,90,3
420,2,0,0,0,0,0
34,2,1,1,1,62,14
449,2,0,0,0,0,0
237,2,0,0,0,0,0
398,2,0,0,0,90,1
565,2,0,0,0,90,2
155,2,0,0,0,0,0
265,2,0,0,0,90,0
90,2,0,1,0,1,4
450,2,0,0,0,90,2
235,2,0,0,0,0,0
514,2,0,0,0,0,0
72,2,0,0,0,27,1
57,2,0,0,0,0,0
499,2,0,0,0,14,1
613,2,0,0,0,0,0
601,2,0,0,0,52,1
205,2,0,0,0,0,0
24,2,0,0,0,0,0
281,2,0,0,0,63,-2
353,2,0,1,1,90,9
379,2,0,0,0,24,1
552,2,0,0,0,54,1
521,2,0,0,0,0,0
241,2,0,0,0,0,0
490,2,0,0,0,73,2
60,2,0,1,1,73,5
5,2,0,0,0,20,1
25,2,0,0,1,66,3
282,2,0,0,0,66,1
583,2,0,0,0,2,1
11,2,0,0,0,0,0
375,2,0,0,0,0,0
218,2,0,0,0,0,0
541,2,0,0,0,0,0
110,2,0,0,1,78,3
421,2,0,0,0,33,1
535,2,0,0,0,0,0
400,2,0,0,0,0,0
438,2,0,0,0,0,0
21,2,0,0,0,0,0
143,2,1,1,0,80,12
190,2,0,0,0,0,0
78,2,0,0,0,0,0
483,2,0,0,0,0,0
122,2,0,0,0,0,0
366,2,0,0,0,0,0
442,2,0,0,0,90,2
113,2,0,0,0,0,0
423,2,0,0,0,0,0
232,2,0,0,0,0,0
79,2,0,0,0,0,0
445,2,0,0,0,0,0
20,2,0,0,1,90,8
252,2,0,0,0,0,0
244,2,0,0,0,0,0
519,2,0,0,1,69,5
118,2,0,0,0,0,0
43,2,1,0,1,63,7
101,2,0,0,1,90,6
409,2,0,0,0,0,0
629,2,0,0,0,0,0
292,2,0,0,0,0,0
267,2,0,0,0,67,2
198,2,0,0,0,0,0
280,2,0,0,0,23,0
494,2,0,0,0,0,0
467,2,0,0,0,90,2
404,2,0,0,0,0,0
133,2,0,0,0,90,2
480,2,0,0,0,90,1
98,2,0,0,0,11,1
577,2,0,0,0,21,1
474,2,0,0,0,32,1
516,2,0,0,1,90,3
298,2,0,0,0,14,1
80,2,0,0,0,0,0
536,2,0,0,0,0,0
506,2,0,0,1,87,6
197,2,0,0,0,90,1
460,2,0,0,0,0,0
534,2,0,0,0,14,1
103,2,0,0,1,90,5
627,2,0,0,0,0,0
531,2,0,0,0,0,0
619,2,0,0,0,0,0
432,2,0,0,0,0,0
422,2,0,0,0,0,0
388,2,0,0,0,0,0
246,2,0,0,0,37,1
351,2,0,0,0,0,0
100,2,0,0,0,0,0
135,2,0,0,0,33,0
544,2,0,0,0,90,2
461,2,0,0,0,0,0
486,2,0,0,0,0,0
348,2,0,0,0,0,0
510,2,0,0,0,0,0
258,2,0,0,0,39,1
221,2,0,0,0,90,1
538,2,0,0,0,0,0
